[0.000000] (-) TimerEvent: {}
[0.000158] (sam_bot_nav2_gz) JobQueued: {'identifier': 'sam_bot_nav2_gz', 'dependencies': OrderedDict()}
[0.137714] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/.github/CODEOWNERS\n'}
[0.137845] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/.github/workflows\n'}
[0.137961] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/.github/workflows/ci-check-docs.yml\n'}
[0.138069] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/.github/workflows/triage.yml\n'}
[0.138178] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/.github/workflows/ci-iron.yaml\n'}
[0.138351] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/.github/workflows/ci-rolling.yaml\n'}
[0.138542] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/.github/workflows/ci-format.yaml\n'}
[0.138658] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/.github/dependabot.yml\n'}
[0.138798] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_demos\n'}
[0.138915] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_demos/CHANGELOG.rst\n'}
[0.139056] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_demos/CMakeLists.txt\n'}
[0.139193] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_demos/examples\n'}
[0.139314] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_demos/examples/example_effort.cpp\n'}
[0.139458] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_demos/examples/example_velocity.cpp\n'}
[0.139617] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_demos/examples/example_diff_drive.cpp\n'}
[0.139757] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_demos/examples/example_tricycle_drive.cpp\n'}
[0.139921] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_demos/examples/example_gripper.cpp\n'}
[0.140075] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_demos/examples/example_position.cpp\n'}
[0.140208] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_demos/package.xml\n'}
[0.140345] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_demos/launch\n'}
[0.140617] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_demos/launch/cart_example_velocity.launch.py\n'}
[0.140694] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_demos/launch/cart_example_effort.launch.py\n'}
[0.140823] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_demos/launch/tricycle_drive_example.launch.py\n'}
[0.140978] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_demos/launch/diff_drive_example.launch.py\n'}
[0.141130] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_demos/launch/gripper_mimic_joint_example.launch.py\n'}
[0.141281] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_demos/launch/cart_example_position.launch.py\n'}
[0.141431] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_demos/urdf\n'}
[0.141505] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_demos/urdf/test_cart_position.xacro.urdf\n'}
[0.141662] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_demos/urdf/test_cart_effort.xacro.urdf\n'}
[0.141818] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_demos/urdf/test_gripper_mimic_joint.xacro.urdf\n'}
[0.141969] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_demos/urdf/test_tricycle_drive.xacro.urdf\n'}
[0.142124] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_demos/urdf/test_diff_drive.xacro.urdf\n'}
[0.142272] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_demos/urdf/test_cart_velocity.xacro.urdf\n'}
[0.142424] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_demos/config\n'}
[0.142521] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_demos/config/gripper_controller.yaml\n'}
[0.142674] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_demos/config/cart_controller_position.yaml\n'}
[0.142824] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_demos/config/diff_drive_controller_velocity.yaml\n'}
[0.142975] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_demos/config/tricycle_drive_controller.yaml\n'}
[0.143122] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_demos/config/cart_controller_effort.yaml\n'}
[0.143272] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_demos/config/cart_controller_velocity.yaml\n'}
[0.143416] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_tests\n'}
[0.143546] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_tests/CHANGELOG.rst\n'}
[0.143704] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_tests/src\n'}
[0.143782] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_tests/src/test_position.cpp\n'}
[0.143928] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_tests/tests\n'}
[0.144003] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_tests/tests/CMakeLists.txt\n'}
[0.144144] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_tests/tests/position_test.py\n'}
[0.144297] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_tests/CMakeLists.txt\n'}
[0.144525] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_tests/package.xml\n'}
[0.144665] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_tests/urdf\n'}
[0.144810] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_tests/urdf/test_cart_position.xacro.urdf\n'}
[0.144923] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control_tests/config\n'}
